Title,EmploymentType,Location,Closingdate,Agency,Link
Planning and Reporting Program Manager,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/planning-and-reporting-program-manager-richmond-virginia-united-states
BRRO - P4421 - Stormwater Inspector,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/brro-p4421-stormwater-inspector-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla
CO - P6038 -  Mitigation Specialist,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p6038-mitigation-specialist-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-blan
Attorney - Legal Affairs and Policy,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/attorney-legal-affairs-and-policy-richmond-virginia-united-states
Program Management Coordinator,Full-Time (Salaried),,Mar 10 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/program-management-coordinator-bristol-virginia-united-states-ea6c6a3b-255b-4e55-ab4d-3e4a97676646
Memory Care Activities Assistant,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/memory-care-activities-assistant-richmond-virginia-united-states
Accounting Supervisor: Central Administration #01557,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/accounting-supervisor-central-administration-01557-richmond-virginia-united-states
Website Administrator Sr. #01482: Department of Corrections,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/website-administrator-sr-01482-department-of-corrections-richmond-virginia-united-states
Casework Counselor: Central Virginia Correctional Unit 13 #13060,Full-Time (Salaried),Chesterfield,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states-afb81a2e-64a4-42f1-a256-592c6fe029d2
Fiscal Tech Senior: Nottoway Correctional Center #00645,Full-Time (Salaried),Nottoway,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-nottoway-correctional-center-00645-nottoway-virginia-united-states
Librarian: Dillwyn Correctional Center #ED004,Full-Time (Salaried),Buckingham,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/librarian-dillwyn-correctional-center-ed004-buckingham-virginia-united-states
Corrections Sergeant: Coffeewood Correctional Center #00162,Full-Time (Salaried),Culpepper,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-coffeewood-correctional-center-00162-culpepper-virginia-united-states
Casework Counselor: Beaumont Corr Center #02134,Full-Time (Salaried),Goochland,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-beaumont-corr-center-02134-goochland-virginia-united-states
Casework Counselor Senior: Beaumont Corr Center #02133,Full-Time (Salaried),Goochland,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-beaumont-corr-center-02133-goochland-virginia-united-states
Plant Manager: Coffeewood Correctional Center #00122,Full-Time (Salaried),Culpepper,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plant-manager-coffeewood-correctional-center-00122-culpepper-virginia-united-states
Office Services Assistant: P&P District #10 Arlington #P1007,Full-Time (Salaried),Arlington,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-10-arlington-p1007-arlington-virginia-united-states
Office Services Assistant - Human Resources: Fluvanna Correctional Center #00528,Full-Time (Salaried),Fluvanna,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-human-resources-fluvanna-correctional-center-00528-fluvanna-virginia-united-states
Maintenance Operator-McLean,Full-Time (Salaried),Fairfax County,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-mclean-fairfax-county-virginia-united-states
CO - P4078 - Enforcement and Data Quality Coordinator (Environmental Specialist II),Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4078-enforcement-and-data-quality-coordinator-environmental-specialist-ii-richmond-virginia-united-states
Federal Funds Manager,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/federal-funds-manager-richmond-virginia-united-states
Business Operations Analyst,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/business-operations-analyst-richmond-virginia-united-states
Financial Analyst,Full-Time (Salaried),Richmond,Mar 10 2023 at 23:55 EST,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states
School Nutrition Program Farm to School Specialist,Full-Time (Salaried),Richmond,Mar 10 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/school-nutrition-program-farm-to-school-specialist-richmond-virginia-united-states
IT Service Manager (Project Office),Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/it-service-manager-project-office-richmond-virginia-united-states
Background Investigator,Full-Time (Salaried),Hanover,Feb 23 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/background-investigator-hanover-virginia-united-states
Regional Lieutenant,Full-Time (Salaried),Hanover,Feb 23 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/regional-lieutenant-hanover-virginia-united-states
Office Services Specialist: Greensville Correctional Center #01004,Full-Time (Salaried),Greensville,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-specialist-greensville-correctional-center-01004-greensville-virginia-united-states
Environmental Health Specialist Senior,Full-Time (Salaried),Lunenburg,,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-senior-lunenburg-virginia-united-states
Environmental Health Specialist,Full-Time (Salaried),"Accomac
  Northampton",Mar 6 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-accomac-virginia-united-states-northampton
Assistant District Land Use Manager,Full-Time (Salaried),Fairfax County,Mar 9 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-district-land-use-manager-fairfax-county-virginia-united-states
Food Production Worker B,Full-Time (Salaried),North Chesterfield,Mar 3 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/food-production-worker-b-north-chesterfield-virginia-united-states
Customer Service Generalists - (Full Time/Salary) Ports District-Multi-Hire/Multi-Work Locations,Full-Time (Salaried),Portsmouth,Feb 27 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/customer-service-generalists-full-time-salary-ports-district-multi-hire-multi-work-locations-virginia-united-states-portsmouth
Chief Deputy Clerk - Prince William,Full-Time (Salaried),Prince William,Feb 27 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/chief-deputy-clerk-prince-william-prince-william-virginia-united-states
Senior Accountant - #ARS00419,Full-Time (Salaried),Henrico,Mar 6 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/senior-accountant-ars00419-henrico-virginia-united-states
Program Support Technician (Peer Recovery Specialist): Brunswick CCAP #01577,Full-Time (Salaried),Brunswick,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-peer-recovery-specialist-brunswick-ccap-01577-brunswick-virginia-united-states
Equipment Repair Technician Senior: State Farm #01587,Full-Time (Salaried),Goochland,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-senior-state-farm-01587-goochland-virginia-united-states
Deputy Clerk - Suffolk,Full-Time (Salaried),Suffolk,Feb 27 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-suffolk-suffolk-virginia-united-states
Suicide Prevention Coordinator,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/suicide-prevention-coordinator-richmond-virginia-united-states
Probation Officer,Full-Time (Salaried),Spotsylvania,Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-spotsylvania-virginia-united-states
HR Business Analyst #W2448,Full-Time (Salaried),Richmond,Feb 26 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/hr-business-analyst-w2448-richmond-virginia-united-states
Program Support Technician (Peer Recovery Specialist): Tazewell P&P District #43 #01576,Full-Time (Salaried),Tazewell,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-peer-recovery-specialist-tazewell-p-p-district-43-01576-tazewell-virginia-united-states
Plant Manager: Augusta Correctional Center #00055,Full-Time (Salaried),Augusta County,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plant-manager-augusta-correctional-center-00055-augusta-county-virginia-united-states
Data Integration Specialist : #01478,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/data-integration-specialist-01478-richmond-virginia-united-states
Probation Officer,Full-Time (Salaried),"Hanover
  Henrico
  Richmond",Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-hanover-virginia-united-states-henrico-richmond
Claims Examiner,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/claims-examiner-richmond-virginia-united-states
Senior Human Resources Information Management Analyst,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-human-resources-information-management-analyst-richmond-virginia-united-states
Probation Officer,Full-Time (Salaried),Henrico,Feb 24 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-henrico-virginia-united-states
Unclaimed Restitution Specialist,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/unclaimed-restitution-specialist-richmond-virginia-united-states
Mental Health Clinician I - Dillwyn Correctional Center,Full-Time (Salaried),Buckingham,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-dillwyn-correctional-center-buckingham-virginia-united-states
Accountant III (Hybrid),Full-Time (Salaried),Richmond,Mar 23 2023 at 23:55 EDT,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/accountant-iii-hybrid-richmond-virginia-united-states
Payroll & Budget Technician,Full-Time (Salaried),Williamsburg,Feb 23 2023 at 23:55 EST,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/payroll-budget-technician-williamsburg-virginia-united-states
Probation Officer,Full-Time (Salaried),Roanoke,Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-roanoke-virginia-united-states
CO - P4218 - Compensation & Benefits Specialist,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/compensation-benefits-coordinator-richmond-virginia-united-states
"Facility Services Associate, Night",Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/facility-services-associate-night-richmond-virginia-united-states
Lead Horticulturist,Full-Time (Salaried),Richmond,,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/lead-horticulturist-richmond-virginia-united-states
Equipment Repair Supervisor: St. Brides Correctional Center #00008,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-chesapeake-virginia-united-states
Casework Counselor Senior: St. Brides Correctional Center #00427,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-chesapeake-virginia-united-states
Recreation Supervisor: St. Brides Correctional Center #00087,Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/recreation-supervisor-st-brides-correctional-center-chesapeake-virginia-united-states
Food Operations Supervisor: St. Brides Correctional Center #00443,Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-st-brides-correctional-center-chesapeake-virginia-united-states
Fiscal Technician: St. Brides Correctional Center #00322,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-st-brides-correctional-center-chesapeake-virginia-united-states
