Title,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link
Certified Nurse Practitioner Senior (MRG),Full-Time (Salaried),NA,"$92,610-$95,318",General Public - G,Open,NA,Bristol,MT ROGERS-WASHINGTON COUNTY,https://www.jobs.virginia.gov/jobs/certified-nurse-practitioner-senior-mrg-bristol-virginia-united-states-washington
Engineer-Preliminary Engineering (NOVA District),Full-Time (Salaried),NA,"$82,000-$132,000",General Public - G,Closed,2023-02-23T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/engineer-preliminary-engineering-nova-district-fairfax-virginia-united-states
Chief Technology Officer,Full-Time (Salaried),NA,"The anticipated starting salary range is $100,000 up to $122,000",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,Dept of Criminal Justice Serv.,https://www.jobs.virginia.gov/jobs/chief-technology-officer-richmond-virginia-united-states
Financial Program Coordinator,Full-Time (Salaried),NA,"$48,005- $60,006",General Public - G,Closed,2023-02-27T23:55:00Z,Salem,Salem,https://www.jobs.virginia.gov/jobs/financial-program-coordinator-salem-virginia-united-states
Mechanic/ Equipment Repair Technician,Full-Time (Salaried),NA,"$50,000-$80,000",General Public - G,Closed,2023-02-28T23:55:00Z,Loudoun County,Loudoun Residency,https://www.jobs.virginia.gov/jobs/mechanic-equipment-repair-technician-loudoun-county-virginia-united-states
Mechanic/ Equipment Repair Technician,Full-Time (Salaried),NA,"$50,000-$80,000",General Public - G,Closed,2023-02-28T23:55:00Z,"Alexandria
  Arlington
  Fairfax County
  Prince William

            Alexandria
  Arlington
  Fairfax County",Fairfax Equipment Shop,https://www.jobs.virginia.gov/jobs/mechanic-equipment-repair-technician-alexandria-virginia-united-states-arlington-fairfax-county-prince-william
Senior Environmental Planner,Full-Time (Salaried),NA,"$61,612 - $90,000",State Employee Only - E,Closed,2023-02-27T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-environmental-planner-richmond-virginia-united-states
Placement Counselor - #ARS01132,Full-Time (Salaried),4,"Minimum starting salary at $44,100 commensurate with experience",General Public - G,Closed,2023-03-03T23:55:00Z,Charlottesville,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/placement-counselor-ars01132-charlottesville-virginia-united-states
VIB Associate / Driver/Shipping/Receiving - #BVIIR010,Full-Time (Salaried),NA,"$35,000 - $40,936",General Public - G,Open,NA,Richmond,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/vib-associate-driver-shipping-receiving-bviir010-richmond-virginia-united-states
Training & Development Coord. Sr.,Full-Time (Salaried),NA,"Commensurate up to $80,000",General Public - G,Open,NA,Hanover,DJJ Training Academy,https://www.jobs.virginia.gov/jobs/training-development-coord-sr-hanover-virginia-united-states
Special Education Teacher (Adult): Sussex State Prison Complex - #ED019,Full-Time (Salaried),NA,"$63,575 - $95,396",General Public - G,Open,NA,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/special-education-teacher-adult-sussex-state-prison-complex-ed019-sussex-virginia-united-states
Adult Education Teacher: Sussex State Prison Complex - #ED003,Full-Time (Salaried),NA,"$58,092 - $83,019",General Public - G,Open,NA,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/adult-education-teacher-sussex-state-prison-complex-ed003-sussex-virginia-united-states
Program Support Technician,Full-Time (Salaried),3,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-28T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-math-d5b75858-a2ae-452b-b4ed-0cf767ae0bda
Project Coordinator,Full-Time (Salaried),NA,"Commensurate up to $56,000",General Public - G,Open,NA,Hanover,DJJ Training Academy,https://www.jobs.virginia.gov/jobs/project-coordinator-hanover-virginia-united-states
Relations Database Administrator,Full-Time (Salaried),6,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-28T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/relations-database-administrator-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex
Computer Systems Engineer Senior,Full-Time (Salaried),6,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-28T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/computer-systems-engineer-senior-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex
OEBS Relational Database Administrator,Full-Time (Salaried),6,NA,General Public - G,Closed,2023-02-28T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/benefits-assistant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-meck-ba4cbd66-c299-48ae-978c-9b6322f696a8
Systems Owner and Analyst,Full-Time (Salaried),5,"Negotiable up to $70,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,Main Street Centre,https://www.jobs.virginia.gov/jobs/systems-owner-and-analyst-richmond-virginia-united-states
IT Quality Assurance Analyst - Early Childhood Education,Full-Time (Salaried),5,"$75,000 min - $89,250 max",General Public - G,Closing soon,2023-03-06T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/it-quality-assurance-analyst-early-childhood-education-richmond-virginia-united-states
Business Manager,Full-Time (Salaried),NA,"Commensurate up to $105,000",General Public - G,Closed,2023-02-23T23:55:00Z,"North Chesterfield
  Richmond",Central Office,https://www.jobs.virginia.gov/jobs/business-manager-north-chesterfield-virginia-united-states-richmond
"Assistant Attorney General, Dept. of Medical Assisted Services (OAGDMA04)",Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Dept of Medical Asst Services,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-dept-of-medical-assisted-services-oagdma04-richmond-virginia-united-states-d08bcbee-7a8c-4cbb-8fdc-b6be6678a545
"Assistant Attorney General, Dept. of Medical Assisted Services (OAGDMA04)",Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Dept of Medical Asst Services,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-dept-of-medical-assisted-services-oagdma04-richmond-virginia-united-states-ef74d128-77e5-452b-bae0-6dfa96272550
Maintenance Crew Leader - Kentuck AHQ,Full-Time (Salaried),NA,"$36,218 - $58,854",General Public - G,Closed,2023-03-03T23:55:00Z,Pittsylvania,Kentuck AHQ,https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-kentuck-ahq-pittsylvania-virginia-united-states
"Casework Counselor Senior: Indian Creek Correctional Center - #00113, #00202",Full-Time (Salaried),NA,"$42,000 - $64,909",State Employee Only - E,Closed,2023-02-27T23:55:00Z,Chesapeake,Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-indian-creek-correctional-center-00113-00202-chesapeake-virginia-united-states
Corrections Sergeant: Indian Creek Correctional Center - #00338,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Closed,2023-02-27T23:55:00Z,Chesapeake,Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-sergeant-indian-creek-correctional-center-00338-chesapeake-virginia-united-states
Corrections Lieutenant: Indian Creek Correctional Center - #00150,Full-Time (Salaried),NA,"$51,240 - $89,223",Agency Employee Only - A,Closed,2023-02-27T23:55:00Z,Chesapeake,Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-indian-creek-correctional-center-00150-chesapeake-virginia-united-states
Compliance Specialist,Full-Time (Salaried),5,"$75,000 min. - $93,713 max.",General Public - G,Open,2023-03-09T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/compliance-specialist-richmond-virginia-united-states
Registered Nurse - Baskerville Correctional Center,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Mecklenburg,Baskerville Correctional Ctr,https://www.jobs.virginia.gov/jobs/registered-nurse-baskerville-correctional-center-mecklenburg-virginia-united-states
Dentist - Sussex State Prison Complex II,Full-Time (Salaried),NA,"$115,500 - $189,277",General Public - G,Open,NA,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/dentist-sussex-state-prison-complex-ii-sussex-virginia-united-states
Maintenance Operator II - Timberlake AHQ,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Closed,2023-03-03T23:55:00Z,Campbell,Timberlake AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-ii-timberlake-ahq-campbell-virginia-united-states
Maintenance Operator - Mt. Airy AHQ,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Closed,2023-03-03T23:55:00Z,Pittsylvania,Mt. Airy AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-mt-airy-ahq-pittsylvania-virginia-united-states
Fleet Administrator Supervisor,Full-Time (Salaried),NA,"$64,941 - $89,294",General Public - G,Closed,2023-02-28T23:55:00Z,Stafford,Fredericksburg District Office,https://www.jobs.virginia.gov/jobs/fleet-administrator-supervisor-stafford-virginia-united-states
Instructional Designer and Facilitator,Full-Time (Salaried),NA,"$70,853-$90,000",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/instructional-designer-and-facilitator-richmond-virginia-united-states
Speciality Crew Leader Maintanence,Full-Time (Salaried),NA,"$38,944 - $63,284",General Public - G,Closed,2023-02-28T23:55:00Z,Chesterfield,Chester AHQ,https://www.jobs.virginia.gov/jobs/speciality-crew-leader-maintanence-chesterfield-virginia-united-states
Accountant,Full-Time (Salaried),NA,58600 - 65000,General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-052aad5d-6433-4346-8ba6-34710c07dcab
Meat and Poultry Inspector (Second Shift-Evenings),Full-Time (Salaried),4,"Up to $55,000. Excellent State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,"Chesterfield
  Richmond",SO Teleworker In-State,https://www.jobs.virginia.gov/jobs/meat-and-poultry-inspector-second-shift-evenings-chesterfield-virginia-united-states-richmond-1f95ed3c-bb17-4432-8a22-08e10a107c87
Meat and Poultry Inspector (Chesterfield County),Full-Time (Salaried),4,"Up to $55,000 annually. Excellent State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,"Chesterfield
  Richmond",SO Teleworker In-State,https://www.jobs.virginia.gov/jobs/meat-and-poultry-inspector-chesterfield-county-chesterfield-virginia-united-states-richmond
Maintenance Operator,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Alleghany,Covington AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-alleghany-virginia-united-states
Appeals Examiner Sr.,Full-Time (Salaried),NA,"$75,000 annually (flat rate)",Agency Employee Only - A,Open,NA,"Chesterfield
  Hanover
  Henrico
  Petersburg

            Chesterfield
  Hanover
  Henrico",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/appeals-examiner-sr-chesterfield-virginia-united-states-hanover-henrico-petersburg
Mixed Delivery Coordinator,Full-Time (Salaried),6,"$75,000 min - $95,000 max",General Public - G,Closed,2023-02-26T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/mixed-delivery-coordinator-richmond-virginia-united-states
Vocational Rehabilitation Counselor - #00371,Full-Time (Salaried),NA,"Minimum starting salary at $49,613 commensurate with experience",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-00371-henrico-virginia-united-states
Contract Manager- Construction,Full-Time (Salaried),NA,"$70,000-$113,000",General Public - G,Closing soon,2023-03-06T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/contract-manager-construction-fairfax-virginia-united-states
Production Technician,Full-Time (Salaried),NA,"$33,626 - $50,440",General Public - G,Closed,2023-02-27T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/production-technician-dillwyn-virginia-united-states-aabd796b-efcd-4545-94c9-eac88576c677
Civil Rights Manager,Full-Time (Salaried),NA,"$90,955 - $147,802",General Public - G,Closed,2023-02-28T23:55:00Z,Fairfax,NOVA District Office,https://www.jobs.virginia.gov/jobs/civil-rights-manager-fairfax-virginia-united-states-6c0498ca-298e-4976-86a4-f55352407274
Highway Maintenance Crew Member,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Closed,2023-02-28T23:55:00Z,Albemarle County,Free Union AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-free-union-virginia-united-states
Probation Officer,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience)",General Public - G,Closed,2023-02-23T23:55:00Z,"Page
  Warren",CSU 26 - Warren County,https://www.jobs.virginia.gov/jobs/probation-officer-front-royal-virginia-united-states
EEO Assistant Division Administrator - Internal Programs,Full-Time (Salaried),NA,"$90,816 - $147,576",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/eeo-assistant-division-administrator-internal-programs-richmond-virginia-united-states
Treatment Plant Operator (Caroline Plant) - #01332,Full-Time (Salaried),NA,"$36,383 - $56,757",General Public - G,Closed,2023-02-27T23:55:00Z,Caroline,Caroline Correctional Unit 02,https://www.jobs.virginia.gov/jobs/treatment-plant-operator-caroline-plant-01335-caroline-virginia-united-states
"Police Officer Recruit ($5,000 Bonus)",Full-Time (Salaried),NA,"$48,465 - $53,312",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,Office,https://www.jobs.virginia.gov/jobs/police-officer-recruit-5-000-bonus-richmond-virginia-united-states
"Certified Police Officer ($5,000 Bonus)",Full-Time (Salaried),NA,"$53,312 - $70,000",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,Office,https://www.jobs.virginia.gov/jobs/certified-police-officer-5-000-bonus-richmond-virginia-united-states
Magistrate - Rockingham,Full-Time (Salaried),NA,Commensurate with Experience,General Public - G,Closed,2023-03-03T23:55:00Z,Rockingham,CSU 26-Harrisonburg/Rockgham,https://www.jobs.virginia.gov/jobs/magistrate-rockingham-harrisonburg-virginia-united-states
Magistrate - Warren,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Closed,2023-03-03T23:55:00Z,Warren,Magistrates' Office,https://www.jobs.virginia.gov/jobs/magistrate-warren-richmond-virginia-united-states
Probation Officer (P&P District #19/Newport News) - #P1951,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Closed,2023-02-27T23:55:00Z,"Chesapeake
  Emporia
  Hampton
  Newport News
  Norfolk
  Petersburg
  Southampton
  Suffolk

            Chesapeake
  Emporia
  Hampton",Newport News P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-19-newport-news-newport-news-virginia-united-states
Corrections Officer: VA Correctional Center for Women,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Goochland
  Powhatan",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/corrections-officer-goochland-virginia-united-states
Regional Transition Specialist - #00492,Full-Time (Salaried),4,Commensurate with experience,General Public - G,Open,NA,"Augusta County
  Botetourt County
  Bristol
  Buena Vista
  Henrico
  Pulaski
  Radford
  Roanoke
  Roanoke County
  Salem
  Wythe

            Augusta County
  Botetourt County
  Bristol",Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/regional-transition-specialist-00492-augusta-county-virginia-united-states-botetourt-county-bristol-buena-vista-henrico-pulaski-radford-roanoke-roanoke-county-salem-wythe
