Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Staff Attorney/Supreme Court of Virginia/Office of the Chief Staff Attorney,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,2023-03-31T23:55:00Z,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/staff-attorney-richmond-virginia-united-states,2023-02-23
Highway Maintenance Equipment Operator,VA Department of Transportation,Full-Time (Salaried),NA,"$30,983- $50,000 Based on Experience",General Public - G,Open,NA,Bedford County,Bedford Residency,https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-bedford-county-virginia-united-states,2023-02-23
Registered Nurse - Virginia Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,"Goochland
  Richmond",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/registered-nurse-goochland-virginia-united-states-7c4a38d2-4647-47e3-aec7-86755f15918c,2023-02-23
Corrections Officer: River North Correctional Center #00211,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Galax
  Goochland
  Pittsylvania",River North Corr Center,https://www.jobs.virginia.gov/jobs/corrections-officer-river-north-correctional-center-galax-virginia-united-states-pittsylvania-goochland,2023-02-23
Mental Health Clinician I - Virginia Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,"Goochland
  Richmond",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-goochland-virginia-united-states,2023-02-23
Roofing and Siding Instructor: Augusta Correctional Center #ED008,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$52,378 - $73,456",General Public - G,Open,NA,"Outside of State
  Augusta County
  Bath
  Bedford
  Bedford County
  Buena Vista
  Covington
  Harrisonburg
  Lexington
  Rockbridge County
  Rockingham
  Stafford

            Outside of State
  Augusta County
  Bath",Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/roofing-and-siding-instructor-craigsville-virginia-united-states,2023-02-23
Licensed Practical Nurse - Virginia Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Goochland
  Richmond",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-goochland-virginia-united-states-3f190c99-badd-4e61-bad5-1ee5740cb327,2023-02-23
Mental Health Clinician I - State Farm Complex,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125 - $77, 175",General Public - G,Open,NA,"Goochland
  Powhatan",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-state-farm-virginia-united-states,2023-02-23
Registered Nurse Coordinator - Fluvanna Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$85,000 - $113,910",General Public - G,Open,NA,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-coordinator-troy-virginia-united-states,2023-02-23
Licensed Practical Nurse - State Farm Complex,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Goochland
  Richmond",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-state-farm-virginia-united-states,2023-02-23
Registered Nurse Supervisor Senior - Fluvanna Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$90,000 - $104,070",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Louisa",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-troy-virginia-united-states,2023-02-23
Registered Nurse - Fluvanna Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Louisa",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-troy-virginia-united-states-f7c8d8de-1089-4501-99ea-6306423aca78,2023-02-23
Program Support Technician: (Operations) Green Rock Correctional Center #00078,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-operations-chatham-virginia-united-states,2023-02-23
Physician MD - Fluvanna Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$157,364 - $295,843",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Gordonsville
  Louisa
  Orange

            Charlottesville
  Fluvanna
  Gordonsville",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/physician-md-troy-virginia-united-states,2023-02-23
Electrical Teacher: Keen Mountain Correctional Center #ED007,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$50,780 - $71,216",General Public - G,Open,NA,"Outside of State
  Alleghany
  Bedford
  Bedford County
  Botetourt County
  Buchanan
  Lexington
  Roanoke
  Rockbridge County
  Salem

            Outside of State
  Alleghany
  Bedford",Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/electrical-teacher-oakwood-virginia-united-states,2023-02-23
Licensed Practical Nurse - Fluvanna Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Charlottesville
  Culpepper
  Fluvanna
  Gordonsville

            Charlottesville
  Culpepper
  Fluvanna",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-troy-virginia-united-states-ddb84495-b82e-4229-9433-aac1970bbb4e,2023-02-23
Nursing Assistant (CNA) - Fluvanna Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $43,515",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Louisa",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/nursing-assistant-cna-troy-virginia-united-states,2023-02-23
Mental Health Clinician I  - Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-mitchells-virginia-united-states,2023-02-23
Licensed Practical Nurse - Buckingham Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-dillwyn-virginia-united-states-5482f0e7-8c89-45c9-a06f-a73ff9173cc1,2023-02-23
Registered Nurse - Marion Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$68,000 - $91,007",General Public - G,Open,NA,Smyth,Marion Corr Treatment Ctr,https://www.jobs.virginia.gov/jobs/registered-nurse-marion-correctional-center-smyth-virginia-united-states,2023-02-23
Registered Nurse - Green Rock Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-green-rock-correctional-center-pittsylvania-virginia-united-states,2023-02-23
Mental Health Clinician I -Keen Mountain Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125 - $77,175",General Public - G,Open,NA,Buchanan,Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-oakwood-virginia-united-states,2023-02-23
Dentist - River North Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$115,500 - $189,277",General Public - G,Open,NA,Grayson,River North Corr Center,https://www.jobs.virginia.gov/jobs/dentist-independence-virginia-united-states,2023-02-23
Dentist - Keen Mountain Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$115,500 - $189,277",General Public - G,Open,NA,Buchanan,Dept of Corrections,https://www.jobs.virginia.gov/jobs/dentist-oakwood-virginia-united-states,2023-02-23
Assistant Chief Medical Examiner- Western OCME,Department of Health,Full-Time (Salaried),NA,"$180,000 - $255,000",General Public - G,Open,NA,"Roanoke
  Roanoke County",CHIEF MEDICAL EXAMINR-WST,https://www.jobs.virginia.gov/jobs/assistant-chief-medical-examiner-western-ocme-roanoke-virginia-united-states-roanoke-county,2023-02-23
Corrections Officer: Wallen's Ridge State Prison #00247,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,915",General Public - G,Open,NA,"Wise, Virginia",Wallens Ridge State Prison,https://www.jobs.virginia.gov/jobs/corrections-officer-big-stone-gap-virginia-united-states,2023-02-23
Registered Nurse - Buckingham Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-dillwyn-virginia-united-states-d3722def-fed5-4910-b07c-e49c379ec9a8,2023-02-23
Registered Nurse - Bland Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$68,000 - $91,007",General Public - G,Open,NA,Bland,Bland Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-bland-virginia-united-states,2023-02-23
Roadway Design Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$62,726-$87,000",General Public - G,Closing soon,2023-03-09T23:55:00Z,Salem,Salem,https://www.jobs.virginia.gov/jobs/roadway-design-engineer-salem-virginia-united-states,2023-02-23
Building and Grounds Superintendent B,Department of Motor Vehicles,Full-Time (Salaried),5,"Commensurate with experience up to $75,000",General Public - G,Open,NA,Richmond,FACILITIES SERVICES DIV,https://www.jobs.virginia.gov/jobs/building-and-grounds-superintendent-b-richmond-virginia-united-states,2023-02-23
Maintenance Operator (Front Royal AHQ),VA Department of Transportation,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Staunton,Front Royal AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-front-royal-ahq-staunton-virginia-united-states,2023-02-23
PH Nurse,Department of Health,Full-Time (Salaried),NA,"$56,025 - $70,000",General Public - G,Closing soon,2023-03-08T23:55:00Z,Prince William,PRINCE WILLIAM-WOODBRIDGE,https://www.jobs.virginia.gov/jobs/ph-nurse-prince-william-virginia-united-states,2023-02-23
Scheduler,Lieutenant Governor,Full-Time (Salaried),NA,"$45,000 to $55,000",General Public - G,Open,NA,Richmond,Office of the Lt. Governor,https://www.jobs.virginia.gov/jobs/scheduler-richmond-virginia-united-states,2023-02-23
Spanish Language Court Interpreter - Fauquier,Supreme Court,Full-Time (Salaried),NA,"negotiable to $65,000",General Public - G,Open,NA,Fauquier County,Fauquier General District Ct,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fauquier-fauquier-county-virginia-united-states,2023-02-23
"Program Manager, Office of Agriculture & Forestry Development",Agriculture & Consumer Svcs,Full-Time (Salaried),6,"Up to $102,000 annually. Excellent State Benefits",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/program-manager-office-of-agriculture-forestry-development-richmond-virginia-united-states,2023-02-23
Application Programmer/Analyst Senior ($5000.00 Sign On Bonus),Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $110,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,Central Office,https://www.jobs.virginia.gov/jobs/application-programmer-analyst-senior-5000-00-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Corrections Officer: Greensville Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-greensville-correctional-center-greensville-virginia-united-states,2023-02-23
Corrections Officer: Sussex I and II State Prison Complex,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,915",General Public - G,Open,NA,"Surry
  Sussex",NA,https://www.jobs.virginia.gov/jobs/corrections-officer-sussex-i-and-ii-state-prison-complex-surry-virginia-united-states-sussex,2023-02-23
Corrections Officer: River North Correctional Center #00378,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Grayson,River North Corr Center,https://www.jobs.virginia.gov/jobs/corrections-officer-river-north-correctional-center-grayson-virginia-united-states,2023-02-23
Corrections Officer: Bland Correctional Center #00313,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Bland,Bland Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-bland-correctional-center-bland-virginia-united-states,2023-02-23
Corrections Officer: Keen Mountain Correctional Center #00253,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Buchanan,Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-keen-mountain-correctional-center-buchanan-virginia-united-states,2023-02-23
Corrections Officer: Pocahontas St Correctional Center #00373,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Tazewell,Pocahontas State Corr Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-pocahontas-st-correctional-center-tazewell-virginia-united-states,2023-02-23
Corrections Officer: Green Rock Correctional Center #00203,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-green-rock-correctional-center-pittsylvania-virginia-united-states,2023-02-23
Corrections Officer: Harrisonburg CCAP #01370,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Harrisonburg
  Rockingham
  Shenandoah",Harrisonburg CCAP,https://www.jobs.virginia.gov/jobs/corrections-officer-harrisonburg-ccap-harrisonburg-virginia-united-states-rockingham-shenandoah,2023-02-23
Corrections Officer: Red Onion State Prison #00560,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,915",General Public - G,Open,NA,"Wise, Virginia",Red Onion State Prison,https://www.jobs.virginia.gov/jobs/corrections-officer-pound-virginia-united-states,2023-02-23
Corrections Officer: Cold Springs CCAP #01179,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Augusta County,Cold Springs CCAP,https://www.jobs.virginia.gov/jobs/corrections-officer-cold-springs-ccap-greenville-virginia-united-states,2023-02-23
Corrections Officer: Augusta Correctional Center #00111,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Albemarle County
  Alleghany
  Amherst
  Augusta County
  Covington

            Albemarle County
  Alleghany
  Amherst",Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-craigsville-virginia-united-states,2023-02-23
Business Software Applications Teacher:  Augusta Correctional Center #ED003,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$52,378 - $73,456",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/business-software-applications-teacher-craigsville-virginia-united-states,2023-02-23
