Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Deputy Clerk - Danville,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-03-03T23:55:00Z,Danville,CSU 22 - Danville,https://www.jobs.virginia.gov/jobs/deputy-clerk-danville-danville-virginia-united-states,2023-02-24
Office Services Specialist,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $44,625",General Public - G,Closed,2023-03-05T23:55:00Z,Buckingham,10th Dist. CSU Buckingham,https://www.jobs.virginia.gov/jobs/office-services-specialist-buckingham-virginia-united-states-b3b9b497-69ab-4944-8e6b-70de1db104ea,2023-02-24
Fee Processing Specialist,Department of Prof & Occup Reg,Full-Time (Salaried),NA,"$39,000 - $47,000",General Public - G,Closed,2023-03-05T23:55:00Z,Henrico,DPOR Main Office,https://www.jobs.virginia.gov/jobs/fee-processing-specialist-henrico-virginia-united-states,2023-02-24
Traffic Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$72,738 - $100,015",General Public - G,Closing soon,2023-03-10T23:55:00Z,"Chesterfield
  Colonial Heights
  Hanover
  Henrico
  Richmond

            Chesterfield
  Colonial Heights
  Hanover",Richmond District Office,https://www.jobs.virginia.gov/jobs/traffic-engineer-chesterfield-virginia-united-states-colonial-heights-hanover-henrico-richmond,2023-02-24
Nutrition Education Liaison,Department of Health,Full-Time (Salaried),NA,"$65,929-$75,672",General Public - G,Closed,2023-03-05T23:55:00Z,Richmond,Dept of Health,https://www.jobs.virginia.gov/jobs/nutrition-education-liaison-richmond-virginia-united-states,2023-02-24
Deputy Clerk - Criminal - Fairfax,Supreme Court,Full-Time (Salaried),NA,"negotiable to 43,259 + 15% County Stipend",General Public - G,Open,NA,Fairfax County,Fairfax County Gen Dist Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-criminal-fairfax-fairfax-county-virginia-united-states,2023-02-24
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Amelia,11th Dist. CSU Amelia,https://www.jobs.virginia.gov/jobs/probation-officer-amelia-virginia-united-states,2023-02-24
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Nottoway,11th Dist. CSU Nottoway,https://www.jobs.virginia.gov/jobs/probation-officer-nottoway-virginia-united-states,2023-02-24
Office Services Specialist,Department of Health,Full-Time (Salaried),NA,"$24,913-$28,000",General Public - G,Closing soon,2023-03-12T23:55:00Z,"Danville
  Halifax
  Henry
  Martinsville
  Pittsylvania

            Danville
  Halifax
  Henry",Danville,https://www.jobs.virginia.gov/jobs/office-services-specialist-danville-virginia-united-states-halifax-henry-martinsville-pittsylvania,2023-02-24
Office Services Specialist,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $44,625",General Public - G,Closed,2023-03-03T23:55:00Z,Petersburg,11th Dist. CSU Petersburg,https://www.jobs.virginia.gov/jobs/office-services-specialist-petersburg-virginia-united-states-aeb8b6ad-f6db-4d2e-8ae2-66a52d3e79ca,2023-02-24
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Petersburg,11th Dist. CSU Petersburg,https://www.jobs.virginia.gov/jobs/probation-officer-petersburg-virginia-united-states,2023-02-24
Inventory Specialist - #BVI00363,Department for Blind/Vision Impaired,Full-Time (Salaried),2,"$26,853 - $41,400",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/inventory-specialist-bvi00363-henrico-virginia-united-states-2fe7feb7-3acd-4ab1-bf0d-791205a69976,2023-02-24
Training Manager - Hunter Education Program,Department of Wildlife Resources,Full-Time (Salaried),5,"starting @ $55,000 (salary to commensurate with experience)",General Public - G,Closing soon,2023-03-10T23:55:00Z,Henrico,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/training-manager-hunter-education-program-henrico-virginia-united-states,2023-02-24
Conservation Police First Sergeant,Department of Wildlife Resources,Full-Time (Salaried),5,"$62,044 - $93,867",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,Bedford County,Bedford County Territory,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-bedford-county-virginia-united-states,2023-02-24
Area Forester-Rappahannock District,Department of Forestry,Full-Time (Salaried),NA,"Starting at $38,894+ with benefits",General Public - G,Closing soon,2023-03-10T23:55:00Z,Spotsylvania,"Charlottesville, Nat Resrcs Dr",https://www.jobs.virginia.gov/jobs/area-forester-rappahannock-district-spotsylvania-virginia-united-states,2023-02-24
Medical Evaluator Senior 03991,Department of Motor Vehicles,Full-Time (Salaried),4,"Commensurate with experience up to $55,000",General Public - G,Closing soon,2023-03-10T23:55:00Z,Richmond,MEDICAL REVIEW WORK CENTER,https://www.jobs.virginia.gov/jobs/medical-evaluator-senior-03991-richmond-virginia-united-states,2023-02-24
Conservation Police First Sergeant,Department of Wildlife Resources,Full-Time (Salaried),5,"$62,044 - $93,867",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,King & Queen,King & Queen County Territory,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-king-queen-virginia-united-states,2023-02-24
Conservation Police First Sergeant,Department of Wildlife Resources,Full-Time (Salaried),5,"$62,044 - $93,867",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,Pulaski,Pulaski County Territory,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-pulaski-virginia-united-states,2023-02-24
Deputy Clerk - Traffic - VA Beach,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closing soon,2023-03-10T23:55:00Z,Virginia Beach,Virginia Beach Gen District Ct,https://www.jobs.virginia.gov/jobs/deputy-clerk-traffic-va-beach-virginia-beach-virginia-united-states-cdc1573a-e7fb-4f56-a5d7-f8df44da9aae,2023-02-24
Systems Analyst - Entry #W2252,Department of Social Services,Full-Time (Salaried),5,"$63,000 - $78,750/yr.",General Public - G,Closing soon,2023-03-11T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/systems-analyst-entry-w2252-richmond-virginia-united-states,2023-02-26
Institutional Operations Manager: Sussex I & Sussex II State Prison Complex #00803,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$50,811 - $83,329.00",General Public - G,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/institutional-operations-manager-sussex-i-sussex-ii-state-prison-complex-00803-sussex-virginia-united-states,2023-02-26
Unit Manager: Sussex State Prison Complex #00651,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$53,352 - $83,329",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/unit-manager-sussex-state-prison-complex-00651-sussex-virginia-united-states,2023-02-26
Office Services Specialist (Records): Sussex State Prison Complex #00033,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/office-services-specialist-records-sussex-state-prison-complex-00033-sussex-virginia-united-states,2023-02-26
Corrections Captain: Sussex I & Sussex II Prison Complex #00530,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$59,143 - $96,315",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/corrections-captain-sussex-i-sussex-ii-prison-complex-00530-sussex-virginia-united-states,2023-02-26
Secretary Senior: Sussex State Prison Complex #00138,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/secretary-senior-sussex-state-prison-complex-00138-sussex-virginia-united-states,2023-02-26
Casework Counselor Senior: Sussex State Prison Complex #00529,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-sussex-state-prison-complex-00529-sussex-virginia-united-states,2023-02-26
Inmate Grievance Coordinator: Sussex State Prison Complex #00017,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$34,818 - $54,317",General Public - G,Closing soon,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-sussex-state-prison-complex-00017-sussex-virginia-united-states,2023-02-26
Web Content Manager,Virginia Museum of Fine Arts,Full-Time (Salaried),NA,"$60,000 annually",General Public - G,Open,NA,Richmond,MAIN MUSEUM,https://www.jobs.virginia.gov/jobs/web-content-manager-richmond-virginia-united-states-1190c786-c8da-483e-988b-eb28aaaea08e,2023-02-26
Financial Reporting Analyst,Department of Accounts,Full-Time (Salaried),NA,"59,850 - 73,500",General Public - G,Open,NA,Richmond,Richmond,https://www.jobs.virginia.gov/jobs/financial-reporting-analyst-richmond-virginia-united-states,2023-02-26
Senior Real Estate Transaction Manager - DR013,Department of General Services,Full-Time (Salaried),NA,"$85,000 - $90,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/senior-real-estate-transaction-manager-dr013-richmond-virginia-united-states,2023-02-26
Office Manager - Sky Meadows State Park,Department Conservation & Recreation,Full-Time (Salaried),NA,"$37,042 - $52,500",General Public - G,Open,2023-03-13T23:55:00Z,Fauquier County,Sky Meadows State Park,https://www.jobs.virginia.gov/jobs/office-manager-sky-meadows-state-park-fauquier-county-virginia-united-states-725c1263-e288-4f6e-9e0c-73a5438a0bcd,2023-02-26
CO - P4603 - Land Application Permit Writer,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 - $85,000",General Public - G,Closing soon,2023-03-10T23:55:00Z,"Outside of State
  Washington
  Prince Georges, MD
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County, Virginia
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Washington
  Prince Georges, MD",Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4603-land-application-permit-writer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,2023-02-26
Food Operations Director: Coffeewood Correctional Center #00041,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$50,811 - $83,329",General Public - G,Closing soon,2023-03-10T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-director-coffeewood-correctional-center-00041-culpepper-virginia-united-states,2023-02-26
Fiscal Technician Senior: Virginia Correctional Center For Women #01138,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$38,000 - $54,317",General Public - G,Closing soon,2023-03-10T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/fiscal-technician-senior-virginia-correctional-center-for-women-01138-goochland-virginia-united-states,2023-02-26
Fiscal Technician: Fluvanna Correctional Center For Women #00102,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Closing soon,2023-03-10T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/fiscal-technician-fluvanna-correctional-center-for-women-00102-fluvanna-virginia-united-states,2023-02-26
Application Developer,Department of Criminal Justice Svcs,Full-Time (Salaried),NA,"The anticipated starting salary range is $75,000 to $91,000",General Public - G,Closing soon,2023-03-10T23:55:00Z,Richmond,Dept of Criminal Justice Serv.,https://www.jobs.virginia.gov/jobs/application-developer-richmond-virginia-united-states-f0d07cb6-13fe-43cf-a42a-1317ab1f457e,2023-02-26
Food Operations Assistant Director: Lunenburg Correctional Center #00042,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Closing soon,2023-03-10T23:55:00Z,Lunenburg,Lunenburg Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-lunenburg-correctional-center-00042-lunenburg-virginia-united-states,2023-02-26
Highway Maintenance Crew Member,VA Department of Transportation,Full-Time (Salaried),NA,"$40,000 - $53,633",General Public - G,Open,2023-03-17T23:55:00Z,Madison,Madison AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-madison-virginia-united-states,2023-03-04
Environmental Health Tech Specialist,Department of Health,Full-Time (Salaried),NA,"$48,985.00 - $65,418.00",Agency Employee Only - A,Closing soon,2023-03-10T23:55:00Z,"James City
  Newport News
  Poquoson
  Williamsburg
  York

            James City
  Newport News
  Poquoson",PENINSULA HQ,https://www.jobs.virginia.gov/jobs/environmental-health-tech-specialist-james-city-virginia-united-states-newport-news-poquoson-williamsburg-york,2023-03-04
Contact Center Representative - Hybrid Retirement Plan Counseling Representative (Remote),Virginia Retirement System,Full-Time (Salaried),NA,"$54,361 - $59,797",General Public - G,Open,2023-04-04T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-hybrid-retirement-plan-counseling-representative-remote-richmond-virginia-united-states,2023-03-04
Contact Center Representative - Employer Support (Remote),Virginia Retirement System,Full-Time (Salaried),NA,"$48,107 - $51,107",General Public - G,Open,2023-03-31T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-employer-support-remote-richmond-virginia-united-states,2023-03-04
